R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
5,0.5533333333333333,Tailored Approach,0.25,0.8,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5386666666666666
6,0.5866666666666667,Tailored Approach,0.25,0.8,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5386666666666666
7,0.63,Tailored Approach,0.25,0.8,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5386666666666666
8,0.6533333333333333,Tailored Approach,0.25,0.8,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5386666666666666
9,0.68,Tailored Approach,0.25,0.8,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5386666666666666
10,0.6966666666666667,Tailored Approach,0.25,0.8,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5386666666666666
1,0.14666666666666667,CPI,,,,,,,,,
2,0.25,CPI,,,,,,,,,
3,0.3233333333333333,CPI,,,,,,,,,
4,0.38333333333333336,CPI,,,,,,,,,
5,0.41,CPI,,,,,,,,,
6,0.43,CPI,,,,,,,,,
7,0.45666666666666667,CPI,,,,,,,,,
8,0.47333333333333333,CPI,,,,,,,,,
9,0.5,CPI,,,,,,,,,
10,0.5333333333333333,CPI,,,,,,,,,
1,0.24333333333333335,Tailored Approach,0.25,0.85,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5353333333333333
2,0.36666666666666664,Tailored Approach,0.25,0.85,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5353333333333333
3,0.4666666666666667,Tailored Approach,0.25,0.85,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5353333333333333
4,0.5033333333333333,Tailored Approach,0.25,0.85,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5353333333333333
5,0.55,Tailored Approach,0.25,0.85,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5353333333333333
6,0.5833333333333334,Tailored Approach,0.25,0.85,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5353333333333333
7,0.6233333333333333,Tailored Approach,0.25,0.85,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5353333333333333
8,0.65,Tailored Approach,0.25,0.85,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5353333333333333
9,0.6766666666666666,Tailored Approach,0.25,0.85,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5353333333333333
10,0.69,Tailored Approach,0.25,0.85,1.0,9.0,0.25,0.24333333333333335,0.21,0.14666666666666667,0.5353333333333333
1,0.15,CPI,,,,,,,,,
2,0.22,CPI,,,,,,,,,
3,0.27666666666666667,CPI,,,,,,,,,
4,0.33,CPI,,,,,,,,,
5,0.36,CPI,,,,,,,,,
6,0.4,CPI,,,,,,,,,
7,0.42,CPI,,,,,,,,,
8,0.46,CPI,,,,,,,,,
9,0.51,CPI,,,,,,,,,
10,0.55,CPI,,,,,,,,,
1,0.21666666666666667,Tailored Approach,0.25,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
2,0.36,Tailored Approach,0.25,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
3,0.45,Tailored Approach,0.25,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
4,0.5033333333333333,Tailored Approach,0.25,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
5,0.5466666666666666,Tailored Approach,0.25,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
6,0.5766666666666667,Tailored Approach,0.25,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
7,0.6133333333333333,Tailored Approach,0.25,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
8,0.6366666666666667,Tailored Approach,0.25,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
9,0.66,Tailored Approach,0.25,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
10,0.6766666666666666,Tailored Approach,0.25,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
1,0.13666666666666666,CPI,,,,,,,,,
2,0.18666666666666668,CPI,,,,,,,,,
3,0.22,CPI,,,,,,,,,
4,0.2633333333333333,CPI,,,,,,,,,
5,0.30333333333333334,CPI,,,,,,,,,
6,0.4166666666666667,CPI,,,,,,,,,
7,0.4533333333333333,CPI,,,,,,,,,
8,0.47333333333333333,CPI,,,,,,,,,
9,0.5066666666666667,CPI,,,,,,,,,
10,0.5466666666666666,CPI,,,,,,,,,
1,0.19,Tailored Approach,0.25,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
2,0.30666666666666664,Tailored Approach,0.25,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
3,0.45666666666666667,Tailored Approach,0.25,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
4,0.5066666666666667,Tailored Approach,0.25,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
5,0.55,Tailored Approach,0.25,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
6,0.58,Tailored Approach,0.25,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
7,0.62,Tailored Approach,0.25,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
8,0.64,Tailored Approach,0.25,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
9,0.66,Tailored Approach,0.25,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
10,0.6833333333333333,Tailored Approach,0.25,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
1,0.20666666666666667,CPI,,,,,,,,,
2,0.29333333333333333,CPI,,,,,,,,,
3,0.36333333333333334,CPI,,,,,,,,,
4,0.42,CPI,,,,,,,,,
5,0.44666666666666666,CPI,,,,,,,,,
6,0.47333333333333333,CPI,,,,,,,,,
7,0.5133333333333333,CPI,,,,,,,,,
8,0.54,CPI,,,,,,,,,
9,0.5566666666666666,CPI,,,,,,,,,
10,0.5933333333333334,CPI,,,,,,,,,
1,0.24666666666666667,Tailored Approach,0.3,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
2,0.37,Tailored Approach,0.3,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
3,0.47333333333333333,Tailored Approach,0.3,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
4,0.51,Tailored Approach,0.3,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
5,0.5533333333333333,Tailored Approach,0.3,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
6,0.5833333333333334,Tailored Approach,0.3,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
7,0.6233333333333333,Tailored Approach,0.3,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
8,0.6533333333333333,Tailored Approach,0.3,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
9,0.68,Tailored Approach,0.3,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
10,0.6933333333333334,Tailored Approach,0.3,0.7,1.0,9.0,0.25,0.24333333333333335,0.21,0.20666666666666667,0.5386666666666666
1,0.20666666666666667,CPI,,,,,,,,,
2,0.29333333333333333,CPI,,,,,,,,,
3,0.36333333333333334,CPI,,,,,,,,,
4,0.42,CPI,,,,,,,,,
5,0.44666666666666666,CPI,,,,,,,,,
6,0.47333333333333333,CPI,,,,,,,,,
7,0.5133333333333333,CPI,,,,,,,,,
8,0.54,CPI,,,,,,,,,
9,0.5566666666666666,CPI,,,,,,,,,
10,0.5933333333333334,CPI,,,,,,,,,
