Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH+CPI,10,0.77,1.922077922077922,1,0.1,0.25,0.75
SPH+CPI,1,0.55,1.0,1,0.1,0.25,0.8
SPH+CPI,2,0.6333333333333333,1.131578947368421,1,0.1,0.25,0.8
SPH+CPI,3,0.6633333333333333,1.2160804020100502,1,0.1,0.25,0.8
SPH+CPI,4,0.6833333333333333,1.2975609756097561,1,0.1,0.25,0.8
SPH+CPI,5,0.7033333333333334,1.4028436018957346,1,0.1,0.25,0.8
SPH+CPI,6,0.72,1.5092592592592593,1,0.1,0.25,0.8
SPH+CPI,7,0.7266666666666667,1.5596330275229358,1,0.1,0.25,0.8
SPH+CPI,8,0.7333333333333333,1.6181818181818182,1,0.1,0.25,0.8
SPH+CPI,9,0.7566666666666667,1.8458149779735682,1,0.1,0.25,0.8
SPH+CPI,10,0.77,1.9870129870129871,1,0.1,0.25,0.8
SPH+CPI,1,0.5633333333333334,1.0,1,0.1,0.25,0.85
SPH+CPI,2,0.6266666666666667,1.101063829787234,1,0.1,0.25,0.85
SPH+CPI,3,0.6533333333333333,1.1785714285714286,1,0.1,0.25,0.85
SPH+CPI,4,0.68,1.2892156862745099,1,0.1,0.25,0.85
SPH+CPI,5,0.6966666666666667,1.3779904306220097,1,0.1,0.25,0.85
SPH+CPI,6,0.7166666666666667,1.5069767441860464,1,0.1,0.25,0.85
SPH+CPI,7,0.7266666666666667,1.5825688073394495,1,0.1,0.25,0.85
SPH+CPI,8,0.7333333333333333,1.6409090909090909,1,0.1,0.25,0.85
SPH+CPI,9,0.7633333333333333,1.9301310043668123,1,0.1,0.25,0.85
SPH+CPI,10,0.7733333333333333,2.0344827586206895,1,0.1,0.25,0.85
SPH+CPI,1,0.5366666666666666,1.0,1,0.1,0.25,0.9
SPH+CPI,2,0.5866666666666667,1.0852272727272727,1,0.1,0.25,0.9
SPH+CPI,3,0.6366666666666667,1.2356020942408377,1,0.1,0.25,0.9
SPH+CPI,4,0.6566666666666666,1.3197969543147208,1,0.1,0.25,0.9
SPH+CPI,5,0.6733333333333333,1.4108910891089108,1,0.1,0.25,0.9
SPH+CPI,6,0.71,1.647887323943662,1,0.1,0.25,0.9
SPH+CPI,7,0.73,1.7945205479452055,1,0.1,0.25,0.9
SPH+CPI,8,0.74,1.8783783783783783,1,0.1,0.25,0.9
SPH+CPI,9,0.7533333333333333,2.004424778761062,1,0.1,0.25,0.9
SPH+CPI,10,0.7666666666666667,2.143478260869565,1,0.1,0.25,0.9
SPH+CPI,1,0.5766666666666667,1.0,1,0.1,0.3,0.7
SPH+CPI,2,0.6433333333333333,1.1036269430051813,1,0.1,0.3,0.7
SPH+CPI,3,0.6733333333333333,1.188118811881188,1,0.1,0.3,0.7
SPH+CPI,4,0.6866666666666666,1.2427184466019416,1,0.1,0.3,0.7
SPH+CPI,5,0.7133333333333334,1.3831775700934579,1,0.1,0.3,0.7
